# time [s]	phi_1 [rad]	phi_2 [rad]
7.799999999999999822e+00	3.440098963858600478e-01	1.615307022788514457e+00
7.839999999999999858e+00	3.464730065656218549e-01	1.624903363302375281e+00
7.879999999999999893e+00	3.490085714225495406e-01	1.634422607860449128e+00
7.919999999999999929e+00	3.516164965392493680e-01	1.643865490070464785e+00
7.959999999999999964e+00	3.542966939300531415e-01	1.653232704669348685e+00
8.000000000000000000e+00	3.570490812885124821e-01	1.662524908770894205e+00
8.039999999999999147e+00	3.598735812513141341e-01	1.671742723042995538e+00
8.080000000000000071e+00	3.627701206770683751e-01	1.680886732818996032e+00
8.119999999999999218e+00	3.657386299385491646e-01	1.689957489147386305e+00
8.160000000000000142e+00	3.687790422270778579e-01	1.698955509783778739e+00
8.199999999999999289e+00	3.718912928678515528e-01	1.707881280128833668e+00
8.240000000000000213e+00	3.750753186451175614e-01	1.716735254115550946e+00
8.279999999999999361e+00	3.783310571361891417e-01	1.725517855049125693e+00
8.320000000000000284e+00	3.816584460533918866e-01	1.734229476402353587e+00
8.359999999999999432e+00	3.850574225931086003e-01	1.742870482569398360e+00
8.400000000000000355e+00	3.885279227911813127e-01	1.751441209580524960e+00
8.439999999999999503e+00	3.920698808840009653e-01	1.759941965780290607e+00
8.480000000000000426e+00	3.956832286747148930e-01	1.768373032471479922e+00
8.519999999999999574e+00	3.993678949040923576e-01	1.776734664526935958e+00
8.560000000000000497e+00	4.031238046258060481e-01	1.785027090971189612e+00
8.599999999999999645e+00	4.069508785852015698e-01	1.793250515534215328e+00
8.640000000000000568e+00	4.108490325866518966e-01	1.801405117189924132e+00
8.679999999999999716e+00	4.148181769030070964e-01	1.809491050642327403e+00
8.720000000000000639e+00	4.188582156556552860e-01	1.817508446810740530e+00
8.759999999999999787e+00	4.229690461973352744e-01	1.825457413296313947e+00
8.800000000000000711e+00	4.271505585055790366e-01	1.833338034821677009e+00
8.839999999999999858e+00	4.314026345871923573e-01	1.841150373646520455e+00
8.880000000000000782e+00	4.357251478797917188e-01	1.848894469970403076e+00
8.919999999999999929e+00	4.401179626418021407e-01	1.856570342331333334e+00
8.960000000000000853e+00	4.445809333546474340e-01	1.864177987983328011e+00
9.000000000000000000e+00	4.491139041347622096e-01	1.871717383255827150e+00
9.039999999999999147e+00	4.537167081463326923e-01	1.879188483903398543e+00
9.080000000000000071e+00	4.583891670503050242e-01	1.886591225418467799e+00
9.119999999999999218e+00	4.631310902725748191e-01	1.893925523484479179e+00
9.160000000000000142e+00	4.679422746556962664e-01	1.901191274114184093e+00
9.199999999999999289e+00	4.728225036479400401e-01	1.908388354163125022e+00
9.240000000000000213e+00	4.777715470836128575e-01	1.915516621342626680e+00
9.279999999999999361e+00	4.827891603222476680e-01	1.922575914780810802e+00
9.320000000000000284e+00	4.878750834639390410e-01	1.929566055528870949e+00
9.359999999999999432e+00	4.930290414457807469e-01	1.936486846296683995e+00
9.400000000000000355e+00	4.982507430560170203e-01	1.943338072137818617e+00
9.439999999999999503e+00	5.035398805090105512e-01	1.950119500652621296e+00
9.480000000000000426e+00	5.088961289240085950e-01	1.956830882283144168e+00
9.519999999999999574e+00	5.143191458143930861e-01	1.963471950608760119e+00
9.560000000000000497e+00	5.198085705883387364e-01	1.970042422643383251e+00
9.599999999999999645e+00	5.253640240618631108e-01	1.976541999135160488e+00
9.640000000000000568e+00	5.309851079852995204e-01	1.982970364869500290e+00
9.679999999999999716e+00	5.366714045842495562e-01	1.989327188976298233e+00
9.720000000000000639e+00	5.424224761161466901e-01	1.995612125242173018e+00
9.759999999999999787e+00	5.482378644435461634e-01	2.001824812428570688e+00
9.800000000000000711e+00	5.541170906253418682e-01	2.007964874596523952e+00
9.839999999999999858e+00	5.600596545271421256e-01	2.014031921438849349e+00
9.880000000000000782e+00	5.660650344520923305e-01	2.020025548620512978e+00
9.919999999999999929e+00	5.721326867932624571e-01	2.025945338128079865e+00
9.960000000000000853e+00	5.782620457082290333e-01	2.031790858629611840e+00
